	Kingdom	Phylum	Class	Order	Family	Genus	Species	ASV
new_taxa..2...1..1.7.	100	100	100	100	100	98	98	ASV_1
new_taxa..2...i..1.7.	100	100	100	100	100	100	70	ASV_2
new_taxa..2...i..1.7..1	100	100	100	100	100	100	100	ASV_3
new_taxa..2...i..1.7..2	100	100	100	100	100	75	75	ASV_4
new_taxa..2...i..1.7..3	100	100	100	100	99	96	96	ASV_5
new_taxa..2...i..1.7..4	100	100	100	100	100	100	57	ASV_6
new_taxa..2...i..1.7..5	100	100	100	100	100	100	100	ASV_7
new_taxa..2...i..1.7..6	100	100	100	100	100	66	66	ASV_8
new_taxa..2...i..1.7..7	100	100	100	100	100	60	55	ASV_9
new_taxa..2...i..1.7..8	100	100	100	100	100	100	100	ASV_10
new_taxa..2...i..1.7..9	100	100	100	100	100	100	63	ASV_11
new_taxa..2...i..1.7..10	100	100	100	100	100	100	100	ASV_12
new_taxa..2...i..1.7..11	100	100	100	100	100	98	91	ASV_13
new_taxa..2...i..1.7..12	100	100	100	100	100	100	100	ASV_14
new_taxa..2...i..1.7..13	100	100	100	100	100	100	66	ASV_15
new_taxa..2...i..1.7..14	100	91	91	91	91	88	49	ASV_16
new_taxa..2...i..1.7..15	100	100	100	100	100	100	100	ASV_17
new_taxa..2...i..1.7..16	100	100	100	100	100	100	100	ASV_18
new_taxa..2...i..1.7..17	100	100	100	100	100	99	98	ASV_19
new_taxa..2...i..1.7..18	100	100	100	100	100	83	83	ASV_20
new_taxa..2...i..1.7..19	100	100	100	100	99	99	88	ASV_21
new_taxa..2...i..1.7..20	100	100	100	100	100	63	56	ASV_22
new_taxa..2...i..1.7..21	100	100	100	100	100	100	100	ASV_23
new_taxa..2...i..1.7..22	100	100	100	100	100	100	69	ASV_24
new_taxa..2...i..1.7..23	100	100	100	100	100	100	100	ASV_25
new_taxa..2...i..1.7..24	100	100	100	100	100	100	100	ASV_26
new_taxa..2...i..1.7..25	100	100	100	100	100	99	66	ASV_27
new_taxa..2...i..1.7..26	100	100	100	100	100	100	100	ASV_28
new_taxa..2...i..1.7..27	100	100	100	100	100	100	100	ASV_29
new_taxa..2...i..1.7..28	100	100	100	100	100	100	60	ASV_30
new_taxa..2...i..1.7..29	100	100	100	100	100	100	92	ASV_31
new_taxa..2...i..1.7..30	100	100	100	100	100	100	100	ASV_32
new_taxa..2...i..1.7..31	100	100	100	100	99	99	99	ASV_33
new_taxa..2...i..1.7..32	100	100	100	100	100	100	100	ASV_34
new_taxa..2...i..1.7..33	100	100	100	100	100	100	82	ASV_35
new_taxa..2...i..1.7..34	100	100	100	100	100	100	100	ASV_36
new_taxa..2...i..1.7..35	100	100	100	100	100	94	94	ASV_37
new_taxa..2...i..1.7..36	100	100	100	100	100	100	100	ASV_38
new_taxa..2...i..1.7..37	100	100	100	100	100	100	100	ASV_39
new_taxa..2...i..1.7..38	100	100	100	100	100	100	100	ASV_40
new_taxa..2...i..1.7..39	100	99	99	99	99	99	95	ASV_41
new_taxa..2...i..1.7..40	100	100	100	100	99	99	99	ASV_42
new_taxa..2...i..1.7..41	100	100	100	100	100	100	100	ASV_43
new_taxa..2...i..1.7..42	100	100	100	100	100	82	80	ASV_44
new_taxa..2...i..1.7..43	100	99	99	99	99	99	50	ASV_45
new_taxa..2...i..1.7..44	100	100	100	100	100	100	99	ASV_46
new_taxa..2...i..1.7..45	100	100	100	100	95	93	93	ASV_47
new_taxa..2...i..1.7..46	100	100	100	100	100	99	99	ASV_48
new_taxa..2...i..1.7..47	100	100	100	100	100	100	97	ASV_49
new_taxa..2...i..1.7..48	100	100	100	100	100	85	85	ASV_50
new_taxa..2...i..1.7..49	100	100	100	100	100	100	100	ASV_51
new_taxa..2...i..1.7..50	100	100	100	100	100	86	86	ASV_52
new_taxa..2...i..1.7..51	100	100	100	100	100	100	100	ASV_53
new_taxa..2...i..1.7..52	100	100	100	100	100	100	100	ASV_54
new_taxa..2...i..1.7..53	100	100	100	100	100	100	100	ASV_55
new_taxa..2...i..1.7..54	100	100	100	100	100	63	63	ASV_56
new_taxa..2...i..1.7..55	100	100	100	100	100	99	99	ASV_57
new_taxa..2...i..1.7..56	100	100	100	100	63	49	21	ASV_58
new_taxa..2...i..1.7..57	100	100	100	100	100	100	100	ASV_59
new_taxa..2...i..1.7..58	100	100	100	100	100	86	65	ASV_60
new_taxa..2...i..1.7..59	100	100	100	100	100	98	91	ASV_61
new_taxa..2...i..1.7..60	100	100	100	100	100	82	77	ASV_62
new_taxa..2...i..1.7..61	100	100	100	100	100	100	100	ASV_63
new_taxa..2...i..1.7..62	100	100	100	100	100	12	12	ASV_64
new_taxa..2...i..1.7..63	100	100	100	100	100	80	53	ASV_65
new_taxa..2...i..1.7..64	100	100	100	100	100	100	57	ASV_66
new_taxa..2...i..1.7..65	100	100	100	100	100	100	22	ASV_67
new_taxa..2...i..1.7..66	100	100	100	100	100	60	57	ASV_68
new_taxa..2...i..1.7..67	100	100	100	100	100	100	91	ASV_69
new_taxa..2...i..1.7..68	100	100	100	100	100	100	100	ASV_70
new_taxa..2...i..1.7..69	100	100	100	100	100	100	100	ASV_71
new_taxa..2...i..1.7..70	100	100	100	100	100	49	49	ASV_72
new_taxa..2...i..1.7..71	100	100	100	100	100	100	72	ASV_73
new_taxa..2...i..1.7..72	100	100	100	100	100	100	100	ASV_74
new_taxa..2...i..1.7..73	99	84	84	84	84	71	57	ASV_75
new_taxa..2...i..1.7..74	100	100	100	100	100	100	100	ASV_76
new_taxa..2...i..1.7..75	100	100	100	100	100	61	61	ASV_77
new_taxa..2...i..1.7..76	100	98	98	98	89	79	51	ASV_78
new_taxa..2...i..1.7..77	100	100	100	100	100	99	99	ASV_79
new_taxa..2...i..1.7..78	100	100	100	100	73	47	47	ASV_80
new_taxa..2...i..1.7..79	100	99	97	95	95	59	59	ASV_81
new_taxa..2...i..1.7..80	100	100	100	100	100	92	91	ASV_82
new_taxa..2...i..1.7..81	100	100	100	100	100	51	51	ASV_83
new_taxa..2...i..1.7..82	100	100	100	99	99	99	76	ASV_84
new_taxa..2...i..1.7..83	100	100	100	100	100	100	100	ASV_85
new_taxa..2...i..1.7..84	100	100	100	100	100	96	94	ASV_86
new_taxa..2...i..1.7..85	100	100	100	100	100	84	81	ASV_87
new_taxa..2...i..1.7..86	100	100	100	100	100	100	100	ASV_88
new_taxa..2...i..1.7..87	100	100	100	100	100	75	71	ASV_89
new_taxa..2...i..1.7..88	100	100	100	100	100	61	61	ASV_90
