	Kingdom	Phylum	Class	Order	Family	Genus	Species	ASV
new_taxa..2...1..1.7.	100	100	100	100	100	98	98	ASV_1
new_taxa..2...i..1.7.	100	100	100	100	100	100	61	ASV_2
new_taxa..2...i..1.7..1	100	100	100	100	100	100	100	ASV_3
new_taxa..2...i..1.7..2	100	100	100	100	100	73	73	ASV_4
new_taxa..2...i..1.7..3	100	100	100	100	100	96	96	ASV_5
new_taxa..2...i..1.7..4	100	100	100	100	100	100	50	ASV_6
new_taxa..2...i..1.7..5	100	100	100	100	100	100	100	ASV_7
new_taxa..2...i..1.7..6	100	100	100	100	100	59	59	ASV_8
new_taxa..2...i..1.7..7	100	100	100	100	100	60	49	ASV_9
new_taxa..2...i..1.7..8	100	100	100	100	100	100	100	ASV_10
new_taxa..2...i..1.7..9	100	100	100	100	100	100	58	ASV_11
new_taxa..2...i..1.7..10	100	100	100	100	100	100	100	ASV_12
new_taxa..2...i..1.7..11	100	100	100	100	100	100	93	ASV_13
new_taxa..2...i..1.7..12	100	100	100	100	100	100	100	ASV_14
new_taxa..2...i..1.7..13	100	100	100	100	100	100	76	ASV_15
new_taxa..2...i..1.7..14	100	86	86	86	86	86	63	ASV_16
new_taxa..2...i..1.7..15	100	100	100	100	100	100	100	ASV_17
new_taxa..2...i..1.7..16	100	100	100	100	100	100	100	ASV_18
new_taxa..2...i..1.7..17	100	100	100	100	100	100	99	ASV_19
new_taxa..2...i..1.7..18	100	100	100	100	100	70	70	ASV_20
new_taxa..2...i..1.7..19	100	100	100	100	100	100	95	ASV_21
new_taxa..2...i..1.7..20	100	100	100	100	100	63	57	ASV_22
new_taxa..2...i..1.7..21	100	100	100	100	100	100	100	ASV_23
new_taxa..2...i..1.7..22	100	100	100	100	100	100	75	ASV_24
new_taxa..2...i..1.7..23	100	100	100	100	100	100	100	ASV_25
new_taxa..2...i..1.7..24	100	100	100	100	100	100	100	ASV_26
new_taxa..2...i..1.7..25	100	100	100	100	100	100	66	ASV_27
new_taxa..2...i..1.7..26	100	100	100	100	100	100	100	ASV_28
new_taxa..2...i..1.7..27	100	100	100	100	100	100	99	ASV_29
new_taxa..2...i..1.7..28	100	100	100	100	100	100	64	ASV_30
new_taxa..2...i..1.7..29	100	100	100	100	100	100	97	ASV_31
new_taxa..2...i..1.7..30	100	100	100	100	100	100	100	ASV_32
new_taxa..2...i..1.7..31	100	100	100	100	100	100	100	ASV_33
new_taxa..2...i..1.7..32	100	100	100	100	100	100	100	ASV_34
new_taxa..2...i..1.7..33	100	100	100	100	100	100	80	ASV_35
new_taxa..2...i..1.7..34	100	100	100	100	100	100	100	ASV_36
new_taxa..2...i..1.7..35	100	100	100	100	100	95	95	ASV_37
new_taxa..2...i..1.7..36	100	100	100	100	100	100	100	ASV_38
new_taxa..2...i..1.7..37	100	100	100	100	100	100	100	ASV_39
new_taxa..2...i..1.7..38	100	100	100	100	100	100	100	ASV_40
new_taxa..2...i..1.7..39	100	100	100	100	100	100	96	ASV_41
new_taxa..2...i..1.7..40	100	100	100	100	98	98	98	ASV_42
new_taxa..2...i..1.7..41	100	100	100	100	100	100	100	ASV_43
new_taxa..2...i..1.7..42	100	100	100	100	100	83	83	ASV_44
new_taxa..2...i..1.7..43	100	100	100	100	100	100	55	ASV_45
new_taxa..2...i..1.7..44	100	100	100	100	100	100	100	ASV_46
new_taxa..2...i..1.7..45	100	100	100	100	99	97	97	ASV_47
new_taxa..2...i..1.7..46	100	100	100	100	100	98	98	ASV_48
new_taxa..2...i..1.7..47	100	100	100	100	100	100	95	ASV_49
new_taxa..2...i..1.7..48	100	100	100	100	100	85	85	ASV_50
new_taxa..2...i..1.7..49	100	100	100	100	100	99	99	ASV_51
new_taxa..2...i..1.7..50	100	100	100	100	100	93	93	ASV_52
new_taxa..2...i..1.7..51	100	100	100	100	100	100	100	ASV_53
